"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2020","126.000","129.600","129.600","120.000","74.95K","5.00%"
"03/23/2020","120.000","139.200","139.200","115.200","116.74K","-4.76%"
"03/20/2020","126.000","120.000","144.000","120.000","136.52K","8.25%"
"03/19/2020","116.400","109.200","122.400","108.000","81.38K","7.78%"
"03/18/2020","108.000","116.400","120.600","105.600","69.45K","-10.89%"
"03/17/2020","121.200","123.600","126.000","114.000","68.62K","2.02%"
"03/16/2020","118.800","117.600","128.400","115.200","76.66K","-7.48%"
"03/13/2020","128.400","126.000","133.200","117.600","71.49K","11.46%"
"03/12/2020","115.200","110.400","122.400","104.400","151.41K","-17.95%"
"03/11/2020","140.400","154.800","160.800","139.200","65.99K","-12.03%"
"03/10/2020","159.600","170.400","174.000","157.200","65.16K","3.10%"
"03/09/2020","154.800","150.000","176.400","145.200","93.81K","-17.31%"
"03/06/2020","187.200","206.400","207.600","183.600","58.54K","-11.86%"
"03/05/2020","212.400","217.200","222.000","211.200","46.77K","-4.84%"
"03/04/2020","223.200","216.000","228.000","212.400","51.25K","5.08%"
"03/03/2020","212.400","218.400","223.200","210.000","38.11K","-2.21%"
"03/02/2020","217.200","225.600","226.800","210.000","50.94K","0.00%"
"02/28/2020","217.200","219.600","226.800","213.600","194.35K","-7.18%"
"02/27/2020","234.000","234.000","244.800","216.000","53.55K","-2.99%"
"02/26/2020","241.200","237.600","250.800","237.600","46.79K","0.00%"
"02/25/2020","241.200","250.800","253.200","237.600","51.26K","-3.37%"
"02/24/2020","249.600","253.200","258.000","246.000","53.59K","-5.88%"
"02/21/2020","265.200","268.800","270.000","259.200","34.93K","-0.90%"
"02/20/2020","267.600","276.000","283.200","262.800","60.45K","-1.33%"
"02/19/2020","271.200","264.000","277.200","260.400","43.78K","3.67%"
"02/18/2020","261.600","246.000","262.800","246.000","77.76K","5.83%"
"02/14/2020","247.200","252.000","252.000","237.600","94.49K","5.10%"
"02/13/2020","235.200","230.400","248.400","228.000","95.41K","2.08%"
"02/12/2020","230.400","249.600","252.000","229.200","61.79K","-6.34%"
"02/11/2020","246.000","247.200","266.400","242.400","81.65K","-1.44%"
"02/10/2020","249.600","262.800","267.600","247.200","65.04K","-7.96%"
"02/07/2020","271.200","264.000","285.600","262.800","113.95K","-15.20%"
"02/06/2020","319.800","332.400","340.200","319.200","33.43K","-5.16%"
"02/05/2020","337.200","348.000","350.400","326.400","64.97K","-0.71%"
"02/04/2020","339.600","324.000","344.400","322.800","66.54K","6.39%"
"02/03/2020","319.200","309.600","319.200","301.200","54.56K","6.40%"
"01/31/2020","300.000","306.000","308.400","296.400","17.88K","-1.96%"
"01/30/2020","306.000","301.200","312.000","301.200","29.35K","0.39%"
"01/29/2020","304.800","315.600","318.600","303.600","30.01K","-2.31%"
"01/28/2020","312.000","308.400","316.200","301.200","48.84K","4.84%"
"01/27/2020","297.600","297.600","312.000","290.400","35.03K","-4.62%"
"01/24/2020","312.000","331.200","332.400","310.800","45.84K","-4.76%"
"01/23/2020","327.600","319.200","334.800","314.400","53.69K","1.87%"
"01/22/2020","321.600","318.000","331.200","306.000","62.28K","3.08%"
"01/21/2020","312.000","332.400","338.400","303.600","70.38K","-5.45%"
"01/20/2020","330.000","332.400","345.600","328.800","38.13K","-0.72%"
"01/17/2020","332.400","336.000","342.000","319.200","85.82K","-0.72%"
"01/16/2020","334.800","344.400","362.400","328.800","163.89K","3.72%"
"01/15/2020","322.800","292.800","327.600","284.400","163.15K","15.45%"
"01/14/2020","279.600","261.600","290.400","256.200","121.54K","4.95%"
"01/13/2020","266.400","243.600","268.800","235.200","151.13K","3.26%"
"01/10/2020","258.000","272.400","273.600","258.000","117.91K","-11.16%"
"01/09/2020","290.400","277.200","295.200","272.400","91.35K","6.61%"
"01/08/2020","272.400","276.000","288.000","266.400","101.02K","-5.02%"
"01/07/2020","286.800","295.200","302.400","285.600","57.26K","-2.85%"
"01/06/2020","295.200","310.800","314.400","294.000","67.31K","-5.38%"
"01/03/2020","312.000","314.400","330.000","312.000","54.67K","-1.14%"
"01/02/2020","315.600","350.400","352.800","314.400","97.32K","-5.73%"
"12/31/2019","334.800","297.600","338.400","294.000","130.89K","12.05%"
"12/30/2019","298.800","298.800","308.400","295.200","52.61K","-0.40%"
"12/27/2019","300.000","306.000","310.800","300.000","71.17K","-4.58%"
"12/24/2019","314.400","318.000","320.400","300.000","65.25K","-1.13%"
"12/23/2019","318.000","338.400","344.400","318.000","116.32K","-10.17%"
"12/20/2019","354.000","356.400","364.200","350.400","75.86K","-0.67%"
"12/19/2019","356.400","342.000","369.600","338.400","80.37K","4.21%"
"12/18/2019","342.000","364.800","366.000","342.000","118.91K","-7.47%"
"12/17/2019","369.600","394.800","394.800","363.600","111.85K","-6.95%"
"12/16/2019","397.200","416.400","424.800","397.200","63.05K","-4.61%"
"12/13/2019","416.400","415.200","433.200","410.400","83.05K","0.87%"
"12/12/2019","412.800","393.600","412.800","387.600","69.56K","6.83%"
"12/11/2019","386.400","399.600","412.800","385.200","60.17K","-3.01%"
"12/10/2019","398.400","412.800","417.600","397.200","48.66K","-4.05%"
"12/09/2019","415.200","387.600","416.400","384.000","90.24K","7.79%"
"12/06/2019","385.200","386.400","390.000","384.000","23.89K","0.00%"
"12/05/2019","385.200","392.400","397.200","382.800","49.81K","-1.53%"
"12/04/2019","391.200","396.000","396.000","385.200","34.89K","-0.31%"
"12/03/2019","392.400","381.600","406.800","380.400","75.05K","1.55%"
"12/02/2019","386.400","400.800","406.800","384.000","47.59K","-3.01%"
"11/29/2019","398.400","417.600","418.800","392.400","55.17K","-4.60%"
"11/28/2019","417.600","409.200","423.000","403.200","44.46K","3.57%"
"11/27/2019","403.200","392.400","405.600","387.600","90.92K","4.67%"
"11/26/2019","385.200","392.400","409.200","376.800","108.57K","-3.60%"
"11/25/2019","399.600","429.600","450.000","398.400","114.17K","-6.98%"
"11/22/2019","429.600","487.200","490.800","428.400","169.11K","-13.53%"
"11/21/2019","496.800","445.200","518.400","430.800","296.85K","18.29%"
"11/20/2019","420.000","384.000","435.600","375.600","236.38K","12.54%"
"11/19/2019","373.200","345.600","390.000","338.400","220.18K","3.67%"
"11/18/2019","360.000","429.600","436.800","358.800","239.08K","-16.43%"
"11/15/2019","430.800","435.600","502.800","428.400","226.57K","-18.04%"
"11/14/2019","525.600","540.000","546.000","495.600","68.50K","-6.61%"
"11/13/2019","562.800","568.800","571.200","555.600","29.01K","-0.42%"
"11/12/2019","565.200","570.000","586.800","564.000","39.33K","-1.46%"
"11/11/2019","573.600","595.200","602.400","571.200","33.88K","-4.97%"
"11/08/2019","603.600","570.000","606.000","565.200","58.56K","6.79%"
"11/07/2019","565.200","600.000","604.800","565.200","35.73K","-4.27%"
"11/06/2019","590.400","600.000","618.000","588.000","36.86K","-0.20%"
"11/05/2019","591.600","570.000","606.000","566.400","44.36K","4.45%"
"11/04/2019","566.400","568.800","577.800","565.200","18.36K","0.64%"
"11/01/2019","562.800","567.600","576.000","562.800","15.44K","-0.64%"
"10/31/2019","566.400","572.400","574.800","554.400","19.25K","-0.63%"
"10/30/2019","570.000","564.000","582.000","562.800","21.21K","1.06%"
"10/29/2019","564.000","573.600","576.000","561.600","19.59K","-2.08%"
"10/28/2019","576.000","603.600","618.000","576.000","37.02K","-3.81%"
